_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
691edb0ed8e248a53b3f9d4e,false,96.79,90.85,113.59,87.28,121;8;1;2,time,15,-1,1,15,0,5.38,false,false,english,,normal,false,false,false,,1763629838000
691edaccd8e248a53b3f9ac8,false,111.2,100,111.2,78.98,139;0;0;0,time,15,-1,16,15,0,76.56,false,false,english,,normal,false,false,false,,1763629772000
691eda58d8e248a53b3f9608,false,104.79,98.53,107.99,85.78,131;0;0;1,time,15,-1,6,15,0,37.15,false,false,english,,normal,false,false,false,,1763629656000
691eda1dd8e248a53b3f9383,false,95.18,92.42,105.58,81.82,119;6;2;0,time,15,-1,2,15,0,3.86,false,false,english,,normal,false,false,false,,1763629597000
691eda07d8e248a53b3f9298,false,102.39,93.79,113.58,78.41,128;3;1;0,time,15,-1,4,15,0,11.41,false,false,english,,normal,false,false,false,,1763629575000
691b6a21d8e248a53b1adee4,false,107.14,96.48,113.54,88.51,134;4;1;0,time,15,-1,2,15.01,0,5.1,false,false,english,,normal,false,false,false,,1763404321000
691b6a09d8e248a53b1add52,false,80.78,92.44,95.17,83.75,101;7;0;1,time,15,-1,1,15,0,0.68,false,false,english,,normal,false,false,false,,1763404297000
69195b2073393afa8b867c9b,false,96.79,94.66,104.79,85.84,121;5;0;2,time,15,-1,2,15,0,6.74,false,false,english,,normal,false,false,false,,1763269408000
69195b0873393afa8b867bee,false,87.99,88.98,99.98,76.43,110;8;0;3,time,15,-1,1,15,0,12.17,false,false,english,,normal,false,false,false,,1763269384000
691817d573393afa8b7c5370,false,103.19,96.43,111.99,80.97,129;3;0;0,time,15,-1,1,15,0,8.19,false,false,english,,normal,false,false,false,,1763186645000
691817bb73393afa8b7c528a,false,104.71,93.96,119.09,84.64,131;4;2;1,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1763186619000
6918173d73393afa8b7c4e76,false,83.99,91.8,97.59,79.99,105;6;0;2,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1763186493000
69143fb73ba5c3033772c81d,false,87.19,91.47,103.19,81.11,109;8;0;2,time,15,-1,3,15,0,21.15,false,false,english,,normal,false,false,false,,1762934711000
69116c903ba5c30337542fb4,false,95.19,96.27,107.19,83.92,119;2;0;2,time,15,-1,2,15,0,15.08,false,false,english,,normal,false,false,false,,1762749584000
6910148e3ba5c303374914de,false,93.6,94.2,110.39,85.58,117;3;1;3,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1762661518000
6910147a3ba5c30337491471,false,99.18,94.24,110.38,75.88,124;5;0;0,time,15,-1,1,15,0,3.68,false,false,english,,normal,false,false,false,,1762661498000
690f6b953ba5c3033744b30d,false,109.59,96.67,119.99,85.39,137;2;0;2,time,15,-1,2,15,0,5.53,false,false,english,,normal,false,false,false,,1762618261000
690354358ad5feaf680c88ca,false,99.19,88,119.99,85.39,124;13;0;2,time,15,-1,8,15,0,35.88,false,false,english,,normal,false,false,false,,1761825845000
690352f98ad5feaf680c7b10,false,108.65,93.42,121.43,88.12,136;6;1;2,time,15,-1,13,15.02,0,58.93,false,false,english,,normal,false,false,false,,1761825529000
690352a28ad5feaf680c7756,false,79.95,93.97,91.94,72.28,100;3;0;3,time,15,-1,4,15.01,0,23.89,false,false,english,,normal,false,false,false,,1761825442000
690351648ad5feaf680c697d,false,105.59,95.89,115.19,80.7,132;3;0;0,time,15,-1,4,15,0,26.63,false,false,english,,normal,false,false,false,,1761825124000
6900185858e46f71a96aa07e,false,107.19,93.24,118.39,85.73,134;6;1;2,time,15,-1,29,15,0,115.37,false,false,english,,normal,false,false,false,,1761613912000
68fedb9658e46f71a95d8c98,false,115.99,96.18,125.59,89.61,145;3;0;3,time,15,-1,1,15,0,1.97,false,false,english,,normal,false,false,false,,1761532822000
68fedb8358e46f71a95d8c0f,false,105.59,95.36,120.79,79.02,132;3;0;1,time,15,-1,2,15,0,10.37,false,false,english,,normal,false,false,false,,1761532803000
68fec74958e46f71a95cfc13,false,100.78,90.2,122.38,89.75,126;9;1;2,time,15,-1,19,15,0,79.69,false,false,english,,normal,false,false,false,,1761527625000
68febeed58e46f71a95cc60c,false,88.79,94.31,98.39,80.49,111;4;0;2,time,15,-1,3,15,0,9.92,false,false,english,,normal,false,false,false,,1761525485000
68feba0758e46f71a95ca54f,false,89.59,92.91,112.79,84.08,112;3;2;2,time,15,-1,8,15,0,43.67,false,false,english,,normal,false,false,false,,1761524231000
68feb96b58e46f71a95ca197,false,110.39,94.77,122.39,89.14,138;4;1;1,time,15,-1,3,15,0,3.23,false,false,english,,normal,false,false,false,,1761524075000
68feb95258e46f71a95ca0ef,false,99.18,95.49,104.77,82.11,124;2;0;2,time,15,-1,5,15,0,30.18,false,false,english,,normal,false,false,false,,1761524050000
68fe295a58e46f71a95826e5,false,100.75,93.66,113.54,82.81,126;5;1;2,time,15,-1,6,15.01,0,31.33,false,false,english,,normal,false,false,false,,1761487194000
68fdcd2a58e46f71a9553791,false,100.79,91.67,124.78,90.19,126;7;0;2,time,15,-1,6,15,0,16.7,false,false,english,,normal,false,false,false,,1761463594000
68fd829358e46f71a95356d0,false,88.72,88.81,107.11,85,111;9;2;0,time,15,-1,17,15.01,0,69.69,false,false,english,,normal,false,false,false,,1761444499000
68fd822c58e46f71a95354a5,false,89.59,93.75,102.39,85.89,112;5;0;2,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1761444396000
68fccbae58e46f71a94e0ef4,false,97.59,97.78,107.99,82.79,122;0;1;1,time,15,-1,3,15,0,18.4,false,false,english,,normal,false,false,false,,1761397678000
68fccaef58e46f71a94e0843,false,95.19,96.75,95.19,81,119;0;0;0,time,15,-1,1,15,0,4.48,false,false,english,,normal,false,false,false,,1761397487000
68fccad858e46f71a94e07a7,false,91.19,95.87,94.39,79.52,114;1;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1761397464000
68fb7dc158e46f71a9429129,false,101.6,94.96,110.4,84.01,127;4;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1761312193000
68fb7db058e46f71a9429038,false,111.99,95.42,120.79,79.06,140;3;0;0,time,15,-1,2,15,0,9.37,false,false,english,,normal,false,false,false,,1761312176000
68fb7d9558e46f71a9428e90,false,95.19,91.85,107.98,85.37,119;7;1;1,time,15,-1,2,15,0,2.09,false,false,english,,normal,false,false,false,,1761312149000
68fb7d8058e46f71a9428d68,false,103.98,97.81,107.98,81.3,130;0;0;1,time,15,-1,7,15,0,25.05,false,false,english,,normal,false,false,false,,1761312128000
68fb7d2258e46f71a94287df,false,110.39,95.48,123.99,84.33,138;3;1;1,time,15,-1,8,15,0,22.14,false,false,english,,normal,false,false,false,,1761312034000
68fb7ae958e46f71a942685f,false,120.78,100,120.78,87.72,151;0;0;0,time,15,-1,4,15,0,4.58,false,false,english,,normal,false,false,false,,1761311465000
68fb7ad258e46f71a94266f4,false,99.99,96.18,104.79,82.53,125;4;0;0,time,15,-1,7,15,0,27.48,false,false,english,,normal,false,false,false,,1761311442000
68f9be3858e46f71a9316950,false,106.39,95.14,113.59,79.95,133;0;4;0,time,15,-1,17,15,0,121.5,false,false,english,,normal,false,false,false,,1761197624000
68f9bd9958e46f71a931649a,false,96.8,92.91,112.8,84.56,121;7;0;1,time,15,-1,1,15,0,6.77,false,false,english,,normal,false,false,false,,1761197465000
68f9b78158e46f71a93136a7,false,94.38,85.06,123.18,84.72,118;15;1;3,time,15,-1,8,15,0,42.02,false,false,english,,normal,false,false,false,,1761195905000
68f9b73958e46f71a931346f,false,102.39,94.48,115.98,85.05,128;4;0;2,time,15,-1,7,15,0,24.56,false,false,english,,normal,false,false,false,,1761195833000
68f8d22258e46f71a927ca67,false,96.8,93.48,110.4,82.16,121;5;1;1,time,15,-1,3,15,0,6.06,false,false,english,,normal,false,false,false,,1761137186000
68f8d20858e46f71a927c90c,false,89.58,92.42,105.58,83.3,112;6;0;2,time,15,-1,5,15,0,30.41,false,false,english,,normal,false,false,false,,1761137160000
68f8d1d458e46f71a927c66e,false,103.99,95.68,111.19,80.91,130;4;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1761137108000
68f8d13f58e46f71a927be96,false,99.99,97.69,103.99,86.24,125;2;0;1,time,15,-1,11,15,0,51.15,false,false,english,,normal,false,false,false,,1761136959000
68f8d0ed58e46f71a927ba41,false,95.99,93.94,105.59,81.82,120;3;3;0,time,15,-1,5,15,0,28.92,false,false,english,,normal,false,false,false,,1761136877000
68f8d0ab58e46f71a927b6ae,false,93.6,91.47,103.2,77.21,117;8;0;2,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1761136811000
68f8b58b58e46f71a9269b06,false,99.99,92.25,113.59,78.23,125;7;1;1,time,15,-1,3,15,0,18.6,false,false,english,,normal,false,false,false,,1761129867000
68f8b34e58e46f71a926882d,false,98.38,96.18,104.78,80.63,123;4;0;1,time,15,-1,5,15,0,21.36,false,false,english,,normal,false,false,false,,1761129294000
68f862b258e46f71a923c02e,false,98.39,86.42,129.59,83.71,123;14;0;3,time,15,-1,8,15,0,24.11,false,false,english,,normal,false,false,false,,1761108658000
68f8627f58e46f71a923be84,false,111.2,90.68,128.8,86.62,139;9;2;2,time,15,-1,4,15,0,20.13,false,false,english,,normal,false,false,false,,1761108607000
68f8624958e46f71a923bca8,false,100.2,94.38,109.2,75.55,501;10;6;3,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1761108553000
68f85fbd58e46f71a923a7a3,false,95.2,89.23,115.6,76.05,476;31;6;12,time,60,-1,3,60,0,23.37,false,false,english,,normal,false,false,false,,1761107901000
68f85f6258e46f71a923a4bf,false,100.79,92.96,113.59,86.16,126;5;2;0,time,15,-1,14,15,0,63.63,false,false,english,,normal,false,false,false,,1761107810000
68f85f0558e46f71a923a1f4,false,100,89.17,125.59,86.1,125;11;0;3,time,15,-1,1,15,0,0.72,false,false,english,,normal,false,false,false,,1761107717000
68f85ef258e46f71a923a161,false,112.8,94.74,120.8,81.32,141;4;1;0,time,15,-1,1,15,0,4.9,false,false,english,,normal,false,false,false,,1761107698000
68f85edb58e46f71a923a09a,false,98.39,88.89,115.18,85.87,123;10;2;3,time,15,-1,1,15,0,9.32,false,false,english,,normal,false,false,false,,1761107675000
68f617f058e46f71a90c5875,false,117.59,98.01,117.59,84.84,147;0;0;0,time,15,-1,3,15,0,11.66,false,false,english,,normal,false,false,false,,1760958448000
68f617cb58e46f71a90c5722,false,107.2,97.14,111.2,85.54,134;2;0;0,time,15,-1,22,15,0,60.58,false,false,english,,normal,false,false,false,,1760958411000
68f616f958e46f71a90c4f64,false,110.38,94.19,123.97,85.15,138;5;1;0,time,15,-1,4,15,0,8.49,false,false,english,,normal,false,false,false,,1760958201000
68f616d158e46f71a90c4e03,false,106.39,89.61,123.19,85.57,133;12;1;1,time,15,-1,8,15,0,36.63,false,false,english,,normal,false,false,false,,1760958161000
68f6168a58e46f71a90c4b87,false,114.4,95.54,124.8,84.06,143;4;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1760958090000
68f6071c58e46f71a90bbf0d,false,83.19,87.41,107.18,80.12,104;9;2;2,time,15,-1,6,15,0,43.76,false,false,english,,normal,false,false,false,,1760954140000
68f478ac58e46f71a9ff80d0,false,95.99,95.59,108.79,85.78,120;3;0;3,time,15,-1,4,15,0,16.47,false,false,english,,normal,false,false,false,,1760852140000
68f35af158e46f71a9f796ab,false,99.99,90.45,125.59,83.32,125;8;0;4,time,15,-1,1,15,0,1.15,false,false,english,,normal,false,false,false,,1760778993000
68f3572758e46f71a9f779fd,false,90.4,96.77,98.4,73.33,113;1;0;2,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1760778023000
68f3571658e46f71a9f77999,false,101.59,98.46,103.99,81.32,127;1;0;1,time,15,-1,7,15,0,27.6,false,false,english,,normal,false,false,false,,1760778006000
68f356e358e46f71a9f7784f,false,99.18,96.18,103.18,83.03,124;2;0;1,time,15,-1,1,15,0,8.73,false,false,english,,normal,false,false,false,,1760777955000
68f3514d58e46f71a9f7519d,false,127.93,99.39,131.13,88.21,160;0;0;1,time,15,-1,4,15.01,0,18.9,false,false,english,,normal,false,false,false,,1760776525000
68f3503458e46f71a9f749b6,false,103.19,92.52,120.19,83.03,516;21;7;7,time,60,-1,4,60,0,21.17,false,false,english,,normal,false,false,false,,1760776244000
68f25f3358e46f71a9efbbf1,false,93,91.36,107.8,73.91,465;25;4;6,time,60,-1,1,60,0,11.98,false,false,english,,normal,false,false,false,,1760714547000
68f2595658e46f71a9ef6577,false,90.6,94.25,99.8,75.68,453;14;0;17,time,60,-1,1,60,0,4.15,false,false,english,,normal,false,false,false,,1760713046000
68f1cf93c2c5004cd44f5472,false,99.19,92.36,113.58,82.65,124;6;0;2,time,15,-1,13,15,0,44.04,false,false,english,,normal,false,false,false,,1760677779000
68ee7c24c2c5004cd42ecac6,false,106.4,91.5,121.6,82.76,133;9;0;1,time,15,-1,11,15,0,38.38,false,false,english,,normal,false,false,false,,1760459812000
68ee7be2c2c5004cd42ec6d4,false,107.99,96.55,115.99,88.26,135;3;0;1,time,15,-1,2,15,0,3.41,false,false,english,,normal,false,false,false,,1760459746000
68ee7bcdc2c5004cd42ec59a,false,102.39,97.12,110.39,83.07,128;1;0;2,time,15,-1,8,15,0,34.58,false,false,english,,normal,false,false,false,,1760459725000
68ee7b91c2c5004cd42ec1f3,false,103.19,95.68,111.18,82.61,129;4;0;1,time,15,-1,3,15,0,10.43,false,false,english,,normal,false,false,false,,1760459665000
